TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	anyway	(Let's try anyway.)	"とにかく
【語源】
【記憶補助】
【類義語】"	（とにかくやってみよう。）	[sound:01-01.mp3]	[sound:01-02.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	following	(Following the speech, we had dinner.)	"～に続いて
【語源】
【記憶補助】
【類義語】"	（スピーチに続いて、夕食をとった。）	[sound:01-03.mp3]	[sound:01-04.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	refer	(Please refer to the map.)	"参照する
【語源】
【記憶補助】
【類義語】"	（地図を参照してください。）	[sound:01-05.mp3]	[sound:01-06.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	available	(Tickets are available online.)	"入手できる
【語源】
【記憶補助】
【類義語】"	（チケットはオンラインで入手可能です。）	[sound:01-07.mp3]	[sound:01-08.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	department	(the sales department)	"部門
【語源】
【記憶補助】
【類義語】"	（営業部）	[sound:01-09.mp3]	[sound:01-10.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	conference	(a large conference room)	"会議
【語源】
【記憶補助】
【類義語】"	（大きな会議室）	[sound:01-11.mp3]	[sound:01-12.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	according to	(according to the e-mail)	"～によると
【語源】
【記憶補助】
【類義語】"	（メールによると）	[sound:01-13.mp3]	[sound:01-14.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	likely	(Who most likely is the woman?)	"おそらく
【語源】
【記憶補助】
【類義語】"	（女性はおそらく誰ですか。）	[sound:01-15.mp3]	[sound:01-16.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	offer	(What does the man offer to do?)	"申し出る
【語源】
【記憶補助】
【類義語】"	（男性は何をすることを申し出ていますか。）	[sound:01-17.mp3]	[sound:01-18.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	equipment	(new office equipment)	"機器
【語源】
【記憶補助】
【類義語】"	（新しいオフィス機器）	[sound:01-19.mp3]	[sound:01-20.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	provide	(Please provide me with your e-mail address.)	"提供する
【語源】
【記憶補助】
【類義語】"	（あなたのメールアドレスを提供してください。）	[sound:01-21.mp3]	[sound:01-22.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	local	(local businesses)	"地元の
【語源】
【記憶補助】
【類義語】"	（地元の会社）	[sound:01-23.mp3]	[sound:01-24.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	purchase	(purchase tickets)	"購入する
【語源】
【記憶補助】
【類義語】"	（チケットを購入する）	[sound:01-25.mp3]	[sound:01-26.mp3]	
