TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	anyway	(Let's try anyway.)	"とにかく
【語源】any + way（どんな方法でも）
【記憶補助】「どんな道(way)でも」→とにかく進む
【類義語】anyhow, regardless"	（とにかくやってみよう。）	[sound:01-01.mp3]	[sound:01-02.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	following	(Following the speech, we had dinner.)	"～に続いて
【語源】follow（従う）+ -ing
【記憶補助】follow（フォロー）する→後に続く
【類義語】next, subsequent"	（スピーチに続いて、夕食をとった。）	[sound:01-03.mp3]	[sound:01-04.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	refer	(Please refer to the map.)	"参照する
【語源】re-（戻る）+ fer（運ぶ）
【記憶補助】情報源に「戻って運ぶ」→参照する
【類義語】consult, check"	（地図を参照してください。）	[sound:01-05.mp3]	[sound:01-06.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	available	(Tickets are available online.)	"入手できる
【語源】avail（役立つ）+ -able（可能）
【記憶補助】利用可能(avail-able)な状態
【類義語】obtainable, accessible"	（チケットはオンラインで入手可能です。）	[sound:01-07.mp3]	[sound:01-08.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	department	(the sales department)	"部門
【語源】de-（離れて）+ part（部分）+ -ment
【記憶補助】会社を「部分」に分けた→部門
【類義語】division, section"	（営業部）	[sound:01-09.mp3]	[sound:01-10.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	conference	(a large conference room)	"会議
【語源】con-（共に）+ fer（運ぶ）+ -ence
【記憶補助】意見を「共に運ぶ」→会議
【類義語】meeting, convention"	（大きな会議室）	[sound:01-11.mp3]	[sound:01-12.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	according to	(according to the e-mail)	"～によると
【語源】accord（一致）+ -ing to
【記憶補助】～に一致して→～によると
【類義語】as per, based on"	（メールによると）	[sound:01-13.mp3]	[sound:01-14.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	likely	(Who most likely is the woman?)	"おそらく
【語源】like（似ている）+ -ly
【記憶補助】起こりそうに「見える」→おそらく
【類義語】probably, presumably"	（女性はおそらく誰ですか。）	[sound:01-15.mp3]	[sound:01-16.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	offer	(What does the man offer to do?)	"申し出る
【語源】ob-（向かって）+ fer（運ぶ）
【記憶補助】相手に向かって差し出す→申し出る
【類義語】propose, suggest"	（男性は何をすることを申し出ていますか。）	[sound:01-17.mp3]	[sound:01-18.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	equipment	(new office equipment)	"機器
【語源】equip（装備する）+ -ment
【記憶補助】装備(equip)するもの→機器
【類義語】apparatus, gear"	（新しいオフィス機器）	[sound:01-19.mp3]	[sound:01-20.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	provide	(Please provide me with your e-mail address.)	"提供する
【語源】pro-（前に）+ vide（見る）
【記憶補助】前もって見て準備→提供する
【類義語】supply, furnish"	（あなたのメールアドレスを提供してください。）	[sound:01-21.mp3]	[sound:01-22.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	local	(local businesses)	"地元の
【語源】loc（場所）+ -al
【記憶補助】その場所(location)の→地元の
【類義語】regional, native"	（地元の会社）	[sound:01-23.mp3]	[sound:01-24.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	purchase	(purchase tickets)	"購入する
【語源】pur-（前に）+ chase（追う）
【記憶補助】獲得を追い求める→購入する
【類義語】buy, acquire"	（チケットを購入する）	[sound:01-25.mp3]	[sound:01-26.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	opening	(a job opening)	"空き
【語源】open + -ing
【記憶補助】開いている状態→空き
【類義語】vacancy, opportunity"	（仕事の空き）	[sound:01-27.mp3]	[sound:01-28.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	construction	(construction project)	"建設
【語源】con-（共に）+ struct（建てる）+ -ion
【記憶補助】共に建てる→建設
【類義語】building, development"	（建設プロジェクト）	[sound:01-29.mp3]	[sound:01-30.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	tour	(while touring the factory)	"見学する
【語源】ラテン語tornare（回る）
【記憶補助】ぐるっと回る→見学する
【類義語】visit, explore"	（工場を見学している間）	[sound:01-31.mp3]	[sound:01-32.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	research	(market research)	"調査
【語源】re-（再び）+ search（探す）
【記憶補助】再び探す→調査する
【類義語】investigation, study"	（市場調査）	[sound:01-33.mp3]	[sound:01-34.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	attend	(attend a meeting)	"出席する
【語源】at-（～へ）+ tend（向かう）
【記憶補助】～へ向かう→出席する
【類義語】participate, be present"	（会議に出席する）	[sound:01-35.mp3]	[sound:01-36.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	delivery	(change a delivery date)	"配達
【語源】de-（離れて）+ liver（解放する）+ -y
【記憶補助】離れた場所へ解放→配達
【類義語】shipment, dispatch"	（配達日を変更する）	[sound:01-37.mp3]	[sound:01-38.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	recently	(I recently bought a printer.)	"最近
【語源】recent（最近の）+ -ly
【記憶補助】時間的に近い→最近
【類義語】lately, newly"	（私は最近プリンターを買った。）	[sound:01-39.mp3]	[sound:01-40.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	indicate	(What is indicated about Mr. Kato ?)	"示す
【語源】in-（中へ）+ dicate（示す）
【記憶補助】指で中を示す→示す
【類義語】show, point out"	（加藤さんについて何が示されていますか。）	[sound:01-41.mp3]	[sound:01-42.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	employee	(an employee of a hotel)	"従業員
【語源】employ（雇う）+ -ee（～される人）
【記憶補助】雇われる人→従業員
【類義語】worker, staff"	（ホテルの従業員）	[sound:01-43.mp3]	[sound:01-44.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	additional	(request additional staff)	"追加の
【語源】add（加える）+ -ition + -al
【記憶補助】加えられた→追加の
【類義語】extra, supplementary"	（追加のスタッフを要請する）	[sound:01-45.mp3]	[sound:01-46.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	survey	(a customer survey)	"アンケート調査
【語源】sur-（上から）+ vey（見る）
【記憶補助】上から見渡す→調査
【類義語】questionnaire, poll"	（顧客アンケート調査）	[sound:01-47.mp3]	[sound:01-48.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	review	(review a report)	"論評する
【語源】re-（再び）+ view（見る）
【記憶補助】再び見る→論評する
【類義語】examine, assess"	（報告書に目を通す）	[sound:01-49.mp3]	[sound:01-50.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	production	(the production area)	"生産
【語源】pro-（前へ）+ duct（導く）+ -ion
【記憶補助】前へ導き出す→生産
【類義語】manufacturing, output"	（生産エリア）	[sound:01-51.mp3]	[sound:01-52.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	located	(conveniently located near a subway station)	"位置して
【語源】loc（場所）+ -ate + -ed
【記憶補助】場所に置かれた→位置して
【類義語】situated, positioned"	（地下鉄の駅近くの便利な場所にある）	[sound:01-53.mp3]	[sound:01-54.mp3]	
TOEIC L＆R TEST 出る単特急　金のフレーズ::600点レベル 助走の400語 (001-100)	detail	(details of a plan)	"詳細
【語源】de-（完全に）+ tail（切る）
【記憶補助】細かく切り分ける→詳細
【類義語】particular, specifics"	（計画の詳細）	[sound:01-55.mp3]	[sound:01-56.mp3]	
